NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Centro-Oeste,5,Mato Grosso,MT,51,Cuiabá,5103403,1,Centro-Sul Mato-grossense,4,Cuiabá,17,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Avenida Fernando Correa da Costa,2367,Cidade Universitária,Boa Esperança,78060900.0,1335,2,15,1,11,27,59,87,106,331,327,172,107,55,35,1,0,1,1,1,1,1,1,50,50,1742,1588,764,824,0,83,51,191,1263,1537,1276,261,51,0,44,144,298,318,276,197,136,175,1003,85,454,38,6,2,1559,29,12
2023,Centro-Oeste,5,Distrito Federal,DF,53,Brasília,5300108,1,Distrito Federal,1,Brasília,1,1,1,1,0,0,FUNDACAO UNIVERSIDADE DE BRASILIA,2,2,UNIVERSIDADE DE BRASÍLIA,UNB,Campus Universitário Darcy Ribeiro,s/n,-,Asa Norte,70910900.0,2906,0,0,2,24,100,118,177,225,746,704,386,265,93,66,1,0,1,1,1,1,1,1,441,13095,3120,2801,1288,1513,0,9,18,224,2550,2647,2323,324,154,0,44,146,335,500,482,369,377,548,1958,109,625,66,11,32,2669,132,10
2023,Nordeste,2,Sergipe,SE,28,São Cristóvão,2806701,0,Leste Sergipano,3,Aracaju,11,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,3,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Avenida Marechal Rondon,s/n,-,Jardim Rosa Elze,49100000.0,1769,0,23,8,12,211,137,269,188,275,187,219,137,65,38,1,0,1,1,1,1,1,1,40939,320055,1820,1768,846,922,0,100,2,210,1456,1652,1441,211,115,1,36,127,258,359,331,250,202,205,242,36,295,11,1,1183,1739,29,5
2023,Norte,1,Amazonas,AM,13,Manaus,1302603,1,Centro Amazonense,3,Manaus,7,1,1,1,0,0,FUNDACAO UNIVERSIDADE DO AMAZONAS,4,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Av. Rodrigo Otávio,6200,Unidade Sede,Coroado II,69077000.0,1931,9,54,5,40,116,201,225,258,389,266,169,134,35,30,1,0,1,1,0,1,1,1,41,6272,2051,2048,934,1114,0,94,200,537,1217,1868,1466,402,180,0,112,217,328,344,295,248,249,255,167,22,1684,6,2,167,2048,0,6
2023,Nordeste,2,Piauí,PI,22,Teresina,2211001,1,Centro-Norte Piauiense,2,Teresina,3,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,14054,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Campus Universitário Ministro Petrônio Portela,s/n,SG - 07,Ininga,64049550.0,2243,128,223,58,82,340,508,51,71,258,211,135,99,44,35,1,0,1,1,1,1,1,1,0,0,1693,1469,710,759,2,5,70,250,1142,1374,1174,200,95,0,22,134,231,304,228,144,163,243,164,41,257,3,1,1003,1469,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Ouro Preto,3146107,0,Metropolitana de Belo Horizonte,7,Ouro Preto,33,1,1,1,0,0,UNIVERSIDADE FEDERAL DE OURO PRETO,6,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Rua Diogo de Vasconcelos,122,-,Centro,35400000.0,653,3,19,1,10,17,41,34,64,90,109,108,96,38,23,0,0,0,1,1,1,1,1,60,28957,910,861,353,508,0,0,16,76,769,852,799,53,9,0,2,36,163,205,161,100,109,85,425,26,158,5,3,244,859,2,0
2023,Sudeste,3,São Paulo,SP,35,São Carlos,3548906,0,Araraquara,5,São Carlos,25,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,1302,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Via Washington  Luis,Km 235,S/Nº,Monjolinho,13565905.0,933,12,21,7,9,6,37,60,78,168,156,144,105,72,58,1,0,1,1,0,1,1,1,0,0,1339,1339,596,743,0,2,3,52,1282,1285,1260,25,54,0,1,39,136,284,242,208,177,252,796,13,74,33,0,423,1310,29,7
2023,Sudeste,3,Minas Gerais,MG,31,Viçosa,3171303,0,Zona da Mata,12,Viçosa,62,1,1,1,0,0,UNIVERSIDADE FEDERAL DE VICOSA,15588,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,36570000.0,1927,4,70,1,17,12,233,92,147,297,501,224,192,79,58,1,0,1,1,0,1,1,1,0,0,1302,1302,536,766,0,7,24,118,1153,1250,1169,81,52,0,32,97,210,299,205,128,146,185,967,24,259,17,5,30,1278,24,0
2023,Sul,4,Paraná,PR,41,Londrina,4113700,0,Norte Central Paranaense,3,Londrina,11,1,1,2,0,0,"SECRETARIA DE ESTADO DA CIENCIA, TECNOLOGIA E ENSINO SUPERIOR - SETI",37,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Rodovia Celso Garcia Cid Pr 445 Km 380,-,UEL - CAMPUS UNIVERSITÁRIO,Campus Universitário,86057970.0,722,0,1,1,4,54,71,141,168,113,85,23,37,7,17,1,0,1,1,0,1,1,1,0,2568,1682,1651,865,786,0,8,50,282,1311,1125,896,229,524,2,36,163,200,253,254,251,241,253,1370,26,125,77,1,52,1633,18,50
2023,Sul,4,Paraná,PR,41,Curitiba,4106902,1,Metropolitana de Curitiba,10,Curitiba,37,1,2,5,1,1,ASSOCIACAO PARANAENSE DE CULTURA - APC,10,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Rua Imaculada Conceição,1155,-,Prado Velho,80215901.0,1203,0,0,5,5,245,170,373,175,116,70,23,17,2,2,1,0,1,1,1,1,0,1,55038,30761,1308,1308,582,726,0,0,23,504,781,444,0,444,756,108,20,112,176,232,203,194,165,206,1223,13,39,26,1,6,1301,7,9
2023,Nordeste,2,Pernambuco,PE,26,Recife,2611606,1,Metropolitana de Recife,5,Recife,17,1,2,5,1,1,ASSOCIACAO ANTONIO VIEIRA,14,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Rua do Príncipe,526,Campus Universitário-UNICAP,Boa Vista,50050900.0,416,1,4,7,8,43,67,103,81,45,31,7,16,1,2,1,0,0,0,0,1,1,1,174,15459,539,534,246,288,0,0,41,207,286,169,0,169,198,167,4,50,72,73,77,70,64,124,362,20,149,3,0,0,531,3,1
2023,Sul,4,Rio Grande do Sul,RS,43,Rio Grande,4315602,0,Sudeste Rio-grandense,7,Litoral Lagunar,35,1,1,1,0,0,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,15596,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Avenida Itália,S/N,Km 8,Carreiros,96203900.0,1113,0,9,2,4,49,64,85,64,231,150,185,115,111,44,1,0,1,1,0,1,1,1,49000,85000,999,992,484,508,0,6,21,104,861,974,840,134,18,0,14,66,155,217,175,135,104,126,822,21,71,8,3,67,964,28,9
2023,Sul,4,Rio Grande do Sul,RS,43,Caxias do Sul,4305108,0,Nordeste Rio-grandense,2,Caxias do Sul,16,1,2,5,1,0,FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL,13,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Rua Francisco Getúlio Vargas,1130,CAMPUS SEDE,Petrópolis,95070560.0,1020,5,10,14,24,299,211,208,74,89,27,26,16,10,7,1,0,1,1,1,1,1,1,0,29348,740,734,393,341,0,0,88,327,319,240,0,240,242,252,6,67,94,128,118,123,97,101,701,2,8,0,0,23,734,0,6
2023,Sul,4,Rio Grande do Sul,RS,43,São Leopoldo,4318705,0,Metropolitana de Porto Alegre,5,Porto Alegre,26,1,2,5,1,1,ASSOCIACAO ANTONIO VIEIRA,14,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Avenida Unisinos,950,-,Cristo Rei,93022750.0,887,1,1,1,1,257,218,143,80,78,34,28,25,9,11,1,0,1,1,0,1,0,1,32353,31245,891,870,426,444,0,0,55,317,498,289,3,286,451,130,12,56,141,175,164,117,87,118,843,10,16,1,0,0,854,16,3
2023,Sudeste,3,Rio de Janeiro,RJ,33,Petrópolis,3303906,0,Metropolitana do Rio de Janeiro,6,Serrana,15,1,2,5,1,1,ASSOCIACAO FACULDADES CATOLICAS PETROPOLITANAS,15046,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Rua Benjamin Constant,213,-,Centro,25610130.0,232,4,11,3,28,53,57,36,25,6,2,3,3,1,0,1,0,0,0,1,1,0,1,0,35328,154,154,60,94,0,0,4,84,66,52,0,52,47,55,0,5,18,24,32,19,22,34,140,4,10,0,0,0,152,2,4
2023,Sudeste,3,Minas Gerais,MG,31,Uberlândia,3170206,0,Triângulo Mineiro/Alto Paranaíba,5,Uberlândia,18,1,1,1,0,0,UNIVERSIDADE FEDERAL DE UBERLANDIA,9140,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Avenida João Naves de Ávila,2121,-,Santa Mônica,38400902.0,2011,2,28,6,19,211,170,154,125,377,326,241,170,107,75,1,0,1,1,1,1,1,1,439,491609,1967,1920,849,1071,0,15,17,127,1761,1897,1684,213,23,0,24,110,283,409,375,258,231,230,1495,51,245,38,1,90,1891,29,18
2023,Sul,4,Rio Grande do Sul,RS,43,Pelotas,4314407,0,Sudeste Rio-grandense,7,Pelotas,33,1,2,5,1,1,ASSOCIACAO PELOTENSE DE ASSISTENCIA E CULTURA,18,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Rua Félix da Cunha,412,-,Centro,96010000.0,267,3,1,3,5,42,32,74,30,39,19,12,6,1,0,1,0,1,1,0,1,0,1,128,13000,319,317,179,138,0,0,114,102,101,105,0,105,168,44,8,53,63,54,44,28,21,46,308,2,4,0,0,3,313,4,1
2023,Sudeste,3,São Paulo,SP,35,Campinas,3509502,0,Campinas,7,Campinas,32,1,2,5,1,1,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,19,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Rua Professor Doutor Euryclides de Jesus Zerbini,1516,Gleba 1 - QT. 06422 (PUC - Dom Pedro),Parque Rural Fazenda Santa Cândida,13087571.0,769,7,6,9,8,195,165,198,98,47,19,4,11,2,0,1,0,1,1,1,1,1,1,1693,25206,793,782,361,421,0,0,113,237,432,270,0,270,184,328,9,28,75,122,122,120,101,205,758,3,9,7,1,4,773,9,2
2023,Sul,4,Rio Grande do Sul,RS,43,Passo Fundo,4314100,0,Noroeste Rio-grandense,1,Passo Fundo,10,1,2,5,1,0,FUNDACAO UNIVERSIDADE DE PASSO FUNDO,20,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Upf Campus Passo Fundo - Campus I,s/n,BR 285 - KM 171,São José,99001970.0,781,31,17,35,10,150,99,167,114,91,34,18,8,4,3,1,0,1,1,0,1,1,1,39,235000,560,530,250,280,0,0,16,241,273,200,0,200,199,131,8,41,74,81,98,95,69,64,528,1,1,0,0,0,526,4,7
2023,Sul,4,Rio Grande do Sul,RS,43,Porto Alegre,4314902,1,Metropolitana de Porto Alegre,5,Porto Alegre,26,1,2,5,1,1,UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,21,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Av. Ipiranga,6681,-,Partenon,90619900.0,2422,48,101,62,56,373,542,430,464,126,67,50,44,35,24,1,0,1,1,1,1,1,1,14,842072,874,874,351,523,0,1,14,223,636,301,77,224,361,212,6,38,80,147,135,137,128,203,856,4,11,3,0,0,859,15,7
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,2,5,1,1,INSTITUTO PRESBITERIANO MACKENZIE,22,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Rua da Consolação,896,Campus São Paulo,Consolação,1302907.0,2208,12,40,23,39,454,533,406,269,203,101,47,58,9,14,1,0,1,1,0,1,1,1,80925,29156,1081,1081,406,675,0,0,4,268,809,474,0,474,456,151,4,47,82,125,199,163,174,287,913,16,111,36,1,4,1048,33,27
2023,Sul,4,Rio Grande do Sul,RS,43,Novo Hamburgo,4313409,0,Metropolitana de Porto Alegre,5,Porto Alegre,26,1,2,5,1,0,ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO,23,23,UNIVERSIDADE FEEVALE,FEEVALE,Rodovia Rodovia ERS-239,nº 2755,-,Vila Nova,93525075.0,765,11,5,13,11,268,185,115,49,43,12,35,10,4,4,1,0,1,0,1,1,1,1,3195,282815,466,454,253,201,0,0,47,184,223,147,1,146,164,143,4,30,69,98,86,67,56,44,404,5,7,1,1,36,449,5,5
2023,Nordeste,2,Bahia,BA,29,Ilhéus,2913606,0,Sul Baiano,7,Ilhéus-Itabuna,31,1,1,2,0,0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,24,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,KM 16 DA RODOVIA ILHÉUS ITABUNA,S/N,-,Salobrinho,45662900.0,373,0,11,0,4,36,57,92,57,60,28,14,9,4,1,1,0,0,0,1,1,1,1,38544,7161,776,737,373,364,0,4,24,156,553,723,531,192,14,0,7,24,84,96,135,125,134,132,64,11,65,1,1,595,712,25,2
